chr,start,end,exo_signal,endo_signal,enrichment,pvalue,binding_type,peak_width_exo,peak_width_endo,significant
chr1,3671654,3672156,66.74665203805284,0.0,inf,1.0,exo_only,1190.5,0.0,False
chr1,4491701,4493673,15.004339438046236,20.781863135721533,0.7219920244906038,0.6666666666666666,exo_only,236.5,0.0,False
chr1,4571641,4572075,25.7647519777194,0.0,inf,1.0,exo_only,371.3333333333333,0.0,False
chr1,4785376,4785814,55.90783583572372,58.03620733177521,0.9633268334733824,1.0,both,748.6666666666666,929.6666666666666,False
chr1,4807559,4808103,153.92469567926705,8.595756947696856,17.907055378119967,0.5,exo_only,1788.6666666666667,0.0,False
chr1,4857465,4858372,280.4302201737738,191.4986350428654,1.4643980105184655,0.1,both,1592.6666666666667,1284.0,False
chr1,5018557,5019711,522.6810799762242,105.77797187136149,4.941303663978982,0.2,both,5033.666666666667,2587.5,False
chr1,5083039,5083536,89.0795724578535,32.51539305521904,2.7396123524195057,0.8,both,1259.3333333333333,479.0,False
chr1,5916428,5917474,96.37020450156712,12.043663996701838,8.001734731885426,0.2,both,1305.3333333333333,232.0,False
chr1,6214430,6215332,199.27108560840784,74.51662822421753,2.674182801304551,0.8,both,1276.3333333333333,1295.5,False
chr1,6359082,6359442,13.443360875167285,0.0,inf,1.0,exo_only,253.5,0.0,False
chr1,6441200,6441612,0.0,19.027890327412933,0.0,1.0,endo_only,0.0,667.0,False
chr1,7088491,7089271,583.281345509053,457.10661226688586,1.2760291141194406,0.4,both,2264.0,2774.0,False
chr1,7397746,7398594,365.31318022304686,440.69402818884487,0.8289496949264399,0.7,both,1547.0,2490.0,False
chr1,9299215,9300020,89.97503427269963,9.13441993525238,9.850109247272488,0.3333333333333333,both,1274.5,325.0,False
chr1,9545269,9546268,245.5527929744931,144.2674100278306,1.7020669666636667,0.7,both,1400.3333333333333,1487.3333333333333,False
chr1,9699785,9700881,122.67696722612352,108.51158067238246,1.1305426247223245,1.0,both,1329.0,1725.6666666666667,False
chr1,9747560,9748645,381.44766049469496,177.35493965580395,2.150758593107007,0.1,both,2190.0,1318.3333333333333,False
chr1,9797821,9798652,108.48749182171628,6.197340299421742,17.50549212729838,0.6666666666666666,exo_only,2074.5,0.0,False
chr1,9848165,9848530,42.54971233443671,11.198220016658782,3.799685331341819,1.0,exo_only,1144.0,0.0,False
chr1,9943785,9944196,126.76730239648892,49.85939189480047,2.5424959587144245,0.8,both,1956.3333333333333,1250.0,False
chr1,9967118,9968330,17.98530149560381,19.06490864754824,0.9433720259612538,0.4,both,258.3333333333333,744.0,False
chr1,10037950,10038215,276.5540873394353,97.4993527141368,2.8364710086873903,0.2,both,2180.333333333333,3051.0,False
chr1,10039745,10040279,116.972097802292,126.95532990308952,0.9213642144176368,1.0,both,1903.5,2356.333333333333,False
chr1,10232143,10233428,43.19996027934115,35.41828097391255,1.219707989531175,1.0,both,1129.0,1386.5,False
chr1,10993486,10994005,99.03432145091118,0.0,inf,1.0,exo_only,2234.0,0.0,False
chr1,11414060,11414465,112.30345386497292,32.320395592639194,3.4746930477097706,0.2,both,1078.0,869.5,False
chr1,12990718,12991200,373.3765956182268,77.57193218671954,4.813295029437845,0.1,both,3904.6666666666665,1338.6666666666667,False
chr1,12991485,12992784,373.3765956182268,86.05656439739813,4.338734624520004,0.2,both,3904.6666666666665,2561.0,False
chr1,13372746,13374794,508.7360375801807,184.7050285143928,2.754316120530192,0.1,both,2506.333333333333,1586.6666666666667,False
chr1,13589162,13590177,149.2570798039133,83.73948017318031,1.7823979739931162,0.7,both,1672.3333333333333,1876.0,False
chr1,13660231,13660732,237.89298966915516,101.12387745657948,2.352490783112045,0.1,both,1655.6666666666667,1371.3333333333333,False
chr1,14309747,14310036,135.20621924277182,25.037943156022376,5.400052967619693,0.2,both,1627.6666666666667,676.0,False
chr1,14755151,14755803,50.90058168515034,0.0,inf,1.0,exo_only,775.5,0.0,False
chr1,15805591,15806108,291.4573086431862,86.78264185135644,3.3584747182783605,0.1,both,1666.0,1592.0,False
chr1,16092956,16093371,88.87271363907041,18.338468147356377,4.846245222062458,1.0,exo_only,1024.3333333333333,0.0,False
chr1,16104765,16106291,450.0889969543861,191.46770370581268,2.3507306362536275,0.1,both,4715.666666666667,1825.6666666666667,False
chr1,16519743,16520093,147.5673841138993,13.561911028733874,10.88101697476451,0.5,exo_only,1834.6666666666667,0.0,False
chr1,16618558,16619401,200.30335306108157,157.1431395532845,1.2746554105415602,1.0,both,1709.3333333333333,1921.6666666666667,False
chr1,16656764,16657043,365.0131799394894,216.219865296448,1.6881574661932126,0.1,both,2018.0,1387.6666666666667,False
chr1,16665146,16665626,65.78307911254623,25.566402557678767,2.573028370500587,0.8,both,659.3333333333334,302.5,False
chr1,17091517,17091971,65.9621335573893,0.0,inf,1.0,exo_only,893.5,0.0,False
chr1,17096764,17098139,68.59542566086382,21.996362583777408,3.1184894956884284,0.3333333333333333,both,1462.5,941.0,False
chr1,17145467,17145795,46.95622696786211,0.0,inf,1.0,exo_only,883.0,0.0,False
chr1,20819888,20820297,218.0377507682193,115.01702972840748,1.895699717538152,1.0,both,938.0,669.3333333333334,False
chr1,20890434,20890811,292.5982613517858,320.80702241876685,0.9120693778636848,1.0,both,2397.6666666666665,5050.333333333333,False
chr1,20935285,20935502,65.28805204169696,75.64465688703761,0.8630887458342699,0.6666666666666666,both,1141.5,1928.0,False
chr1,20951662,20951890,459.1900883120945,181.0461258437559,2.536315461996568,0.1,both,3412.6666666666665,1308.6666666666667,False
chr1,21078869,21079694,193.649113296476,303.7060518140836,0.6376201993334661,1.0,both,1787.0,2561.6666666666665,False
chr1,21961003,21962124,230.1231891654748,163.27068716369175,1.409458079482192,0.4,both,2461.333333333333,3060.0,False
chr1,22805682,22806364,75.84335978180201,23.209866959429814,3.267720573942713,0.3333333333333333,both,2002.0,612.5,False
chr1,23256018,23257054,193.9721189870304,173.24017137896325,1.1196717103374132,0.4,both,1857.6666666666667,2189.6666666666665,False
chr1,23382681,23383400,309.49652096962603,173.91568484720278,1.779577967574003,0.4,both,2614.6666666666665,1490.3333333333333,False
chr1,23761822,23763204,296.80716915955213,69.57155167540328,4.266214595074024,0.2,both,4272.666666666667,2132.5,False
chr1,23921719,23922554,159.51269217014217,39.94776071025622,3.9930321333177696,0.6666666666666666,exo_only,1882.5,0.0,False
chr1,24005371,24005714,72.30258239491303,42.24978740392476,1.7113123364070832,0.8,both,515.6666666666666,1039.0,False
chr1,24099641,24100556,220.9009091465008,118.63029604519842,1.862095236298973,0.1,both,1562.6666666666667,1148.6666666666667,False
chr1,24586521,24587177,139.68156080403966,16.713764405828687,8.357277116777338,0.2,both,1467.3333333333333,752.5,False
chr1,24678516,24679083,305.7821658769764,79.36889378459607,3.852670124228476,0.1,both,3147.6666666666665,769.3333333333334,False
chr1,25829845,25830680,388.8706404265376,237.10767792797256,1.6400592499778386,0.1,both,3776.6666666666665,3229.333333333333,False
chr1,30873108,30874026,179.4477830579153,82.84350243964452,2.1661057026005346,0.2,both,1829.0,1333.3333333333333,False
chr1,30948826,30950216,226.3990463656228,122.12991656545148,1.853755842404852,0.2,both,2005.6666666666667,1692.0,False
chr1,32172540,32173046,163.91285803282537,40.230621669455125,4.074330726966501,0.2,both,1900.0,1670.5,False
chr1,33669553,33670569,105.42923439263492,44.69126171077392,2.359057013761117,0.2,both,828.0,796.3333333333334,False
chr1,33719825,33720450,105.25716944605284,49.27475256302528,2.136127813354776,0.8,both,1241.6666666666667,800.5,False
chr1,33757611,33757949,108.21527171529662,188.97688768735256,0.5726376015586112,0.3333333333333333,both,2005.0,5251.5,False
chr1,33814130,33814690,252.07835787576872,59.34719404915992,4.247519396906297,0.2,both,2510.0,935.6666666666666,False
chr1,33906988,33907242,35.67022855777757,80.74700178213696,0.441752978692871,1.0,endo_only,0.0,2488.0,False
chr1,33907457,33907693,49.64691329635145,124.90474520797676,0.3974781999970074,0.4,both,1055.5,2296.0,False
chr1,33907902,33908106,49.64691329635145,71.51553652400942,0.6942115756858488,0.6666666666666666,both,1055.5,1818.0,False
chr1,34006046,34006248,418.48496766031167,354.7907196119413,1.1795262517521232,0.7,both,3042.333333333333,4311.666666666667,False
chr1,34011484,34011861,285.6502836649261,118.29158410004167,2.4147980250509256,0.1,both,1614.0,1310.6666666666667,False
chr1,34177942,34178193,2.9469003359866224,45.85741721059839,0.0642622396820365,0.6666666666666666,endo_only,0.0,1140.0,False
chr1,34439241,34440138,737.8355719662136,516.3466750248484,1.4289538553350931,0.4,both,1330.3333333333333,1330.3333333333333,False
chr1,34459407,34459964,254.4813472486048,22.82478997744676,11.149340147272268,0.1,both,1975.0,540.6666666666666,False
chr1,34472754,34472966,182.9971856820576,0.0,inf,1.0,exo_only,2422.333333333333,0.0,False
chr1,34678070,34678419,63.13997763557611,13.063520884530144,4.833304757092449,0.6666666666666666,exo_only,1031.0,0.0,False
chr1,34750258,34751085,30.626116084102577,28.864753429885344,1.0610212264066523,0.6666666666666666,endo_only,0.0,704.5,False
chr1,34801701,34802059,46.89580955370778,40.66759780964221,1.153149241153085,0.6666666666666666,endo_only,0.0,1385.0,False
chr1,34842534,34843165,250.9873911418142,67.21158222590495,3.734287794300395,0.4,both,3287.6666666666665,2050.0,False
chr1,36068460,36069216,169.13854814560705,111.455003299103,1.517550070782406,1.0,both,3595.0,1890.0,False
chr1,36103537,36104186,174.95576073852922,0.0,inf,1.0,exo_only,2798.0,0.0,False
chr1,36243891,36244412,261.963963249162,22.11346057223872,11.846357669501623,0.1,both,2512.0,427.3333333333333,False
chr1,36307616,36308213,431.4715623492261,617.6482338110434,0.6985716767729411,1.0,both,3233.0,3418.0,False
chr1,36368684,36369330,46.88039305126239,51.17198642280525,0.9161339304657072,1.0,both,731.0,1153.5,False
chr1,36444875,36445308,66.8770561805745,76.30556823824018,0.8764374307753254,0.6666666666666666,both,819.5,1695.0,False
chr1,36471266,36472155,155.9668396882776,222.8795468097792,0.6997808543705917,1.0,both,2607.0,3220.6666666666665,False
chr1,36511763,36513006,272.3212106043015,206.6725944175754,1.3176454835326892,0.7,both,2350.6666666666665,2355.0,False
chr1,36546910,36547290,309.22185237270315,148.32964303583847,2.084693565250413,0.1,both,2243.6666666666665,2101.0,False
chr1,36556807,36558424,291.9817741889351,206.41270403589388,1.414553312271716,0.4,both,3576.0,3232.0,False
chr1,36683084,36683438,38.88536476585998,65.8768579883426,0.5902735187027444,1.0,endo_only,0.0,1297.5,False
chr1,36691322,36691869,240.87771883241197,50.89684290449008,4.7326652319954,0.1,both,3341.0,622.6666666666666,False
chr1,36709621,36710148,86.68436091260948,113.9577252450728,0.760671211418003,1.0,both,1491.5,1749.0,False
chr1,36938841,36940122,134.81135924971798,54.62174391864113,2.468089621058584,0.2,both,1375.3333333333333,957.3333333333334,False
chr1,37029247,37029486,90.89294155176044,53.97345332819099,1.684030499198871,0.6666666666666666,exo_only,1659.5,0.0,False
chr1,37299840,37300507,70.18986346871857,33.15070386314255,2.1172963252450487,0.1,both,788.0,811.6666666666666,False
chr1,37429777,37430415,175.65138211535353,69.43579544436228,2.5296949648412967,0.7,both,1281.0,1033.3333333333333,False
chr1,37540315,37540920,108.70525937689884,87.08417282839456,1.2482780262621331,1.0,both,1959.5,2262.5,False
chr1,37719313,37720128,43.13890788687719,2.926532312447801,14.740622443630247,0.6666666666666666,exo_only,1157.5,0.0,False
chr1,37864612,37865324,222.05814382789143,203.75764204619188,1.089815044961851,0.7,both,1096.6666666666667,1670.0,False
chr1,37875331,37875824,0.0,25.675975735881128,0.0,1.0,endo_only,0.0,688.0,False
chr1,37890362,37890782,192.3813080216344,116.4203146714733,1.6524719810671835,0.4,both,1751.3333333333333,1873.0,False
chr1,37996946,37997459,267.976281943522,369.6729449447852,0.7249009850681587,0.4,both,2385.6666666666665,2505.6666666666665,False
chr1,37997823,37998675,267.976281943522,369.6729449447852,0.7249009850681587,0.4,both,2385.6666666666665,2505.6666666666665,False
chr1,38129048,38130208,125.01309395859867,100.0864612097089,1.249050994985841,1.0,both,1124.0,1694.6666666666667,False
chr1,38835801,38836776,168.6039611972779,15.383922800764992,10.959750863342462,1.0,exo_only,2293.0,0.0,False
chr1,38897864,38898202,77.75497573024877,3.939376382870078,19.737889496509467,0.5,exo_only,740.0,0.0,False
chr1,38987499,38988052,129.6052787676754,53.48161097157533,2.423361533304572,0.1,both,1179.3333333333333,859.0,False
chr1,39193418,39194435,37.428032881315886,48.29680576286439,0.7749587636309988,0.6666666666666666,both,926.5,1290.0,False
chr1,39367434,39368617,203.77016418079236,138.64785506984674,1.4696957560442525,0.4,both,1405.0,1843.6666666666667,False
chr1,39478123,39478997,147.45269007358908,175.0038751505755,0.8425681428295171,0.7,both,1544.3333333333333,2404.0,False
chr1,39535587,39536365,91.68245407561253,107.07376172446747,0.856255095543749,0.7,both,1160.0,1770.3333333333333,False
chr1,39576525,39577527,189.4658626527422,138.82565498904907,1.3647755716887326,0.7,both,1913.6666666666667,2256.6666666666665,False
chr1,39650441,39651282,84.29991231554031,34.89297220704907,2.415956766747146,0.2,both,2421.0,729.6666666666666,False
chr1,39900472,39901459,301.2069729428304,375.51380079199294,0.8021195820434757,0.7,both,3386.6666666666665,6274.333333333333,False
chr1,40266556,40266876,146.07193921634902,0.0,inf,1.0,exo_only,2271.333333333333,0.0,False
chr1,40790518,40790811,61.89550527407184,37.08356357290149,1.6690819142122977,1.0,both,813.6666666666666,966.0,False
chr1,42684497,42685011,284.7470617523113,139.35580165238727,2.043309703478236,0.3333333333333333,both,4194.0,3164.5,False
chr1,42686605,42686928,296.0570446499336,93.10364031316648,3.1798654021916475,0.8,both,3026.0,2907.5,False
chr1,42694074,42694484,769.9361965629028,453.4646498823636,1.6978968410495443,0.2,both,4745.0,3613.3333333333335,False
chr1,42694733,42695261,769.9361965629028,453.4646498823636,1.6978968410495443,0.2,both,4745.0,3613.3333333333335,False
chr1,42696574,42698657,608.7875182556621,139.07193731868236,4.377500809963047,1.0,exo_only,3128.0,0.0,False
chr1,42851139,42851682,277.306041290862,110.21159132854336,2.5161241022662133,0.2,both,1700.3333333333333,1005.0,False
chr1,42952792,42953543,11.048034458295126,39.95226389962348,0.276530874096455,1.0,both,267.5,1037.3333333333333,False
chr1,43092247,43092816,196.6123607994912,58.830916143275175,3.341990465024664,0.4,both,1962.0,2158.0,False
chr1,43098480,43098954,364.2677523678455,119.12476506294936,3.0578675406021136,0.2,both,2588.333333333333,1939.6666666666667,False
chr1,43163728,43164080,156.83144999381042,17.720650319910373,8.85020849475256,0.2,both,1813.0,733.5,False
chr1,43445846,43446568,150.55515875886002,9.869254886022151,15.254967117334422,0.6666666666666666,exo_only,3202.5,0.0,False
chr1,43827314,43828135,494.7093501888755,229.60694520694616,2.154592273953172,0.2,both,3473.333333333333,1683.3333333333333,False
chr1,43933652,43934550,314.9204890313887,144.43426235335747,2.1803724677247134,0.2,both,1597.0,971.6666666666666,False
chr1,44101935,44102758,143.16933616902625,71.17746458403836,2.011441922042446,0.7,both,1784.6666666666667,1207.0,False
chr1,44147610,44148213,196.22067627880747,122.95024682779632,1.59593560274534,0.2,both,2042.0,1414.0,False
chr1,44551578,44552491,195.87568892715515,34.23907823955172,5.720822492846398,0.1,both,1940.3333333333333,719.0,False
chr1,45795375,45795757,599.7252497551182,161.24488191587264,3.719344407272516,0.2,both,1890.3333333333333,917.0,False
chr1,46852696,46854053,517.2685243614701,427.573675413167,1.2097763592710202,0.7,both,2282.6666666666665,2956.6666666666665,False
chr1,50927047,50928062,521.204824297087,88.1200837013979,5.914710953557785,0.1,both,2610.6666666666665,986.6666666666666,False
chr1,51478159,51478621,369.8124439194714,130.83417167106137,2.82657381627516,0.1,both,1758.3333333333333,959.6666666666666,False
chr1,51915183,51916194,144.03644573959383,42.532728260274375,3.386484987705904,0.2,both,1901.6666666666667,1334.5,False
chr1,52113708,52113995,54.85508994816626,62.12251385106418,0.8830146519775225,0.8,both,608.6666666666666,923.5,False
chr1,52119293,52119737,202.0624600726682,139.25547569920028,1.4510198543943404,0.7,both,1054.3333333333333,1632.6666666666667,False
chr1,52232207,52233503,296.25391284389565,100.78473143196022,2.939472166415373,0.1,both,1851.6666666666667,1140.3333333333333,False
chr1,52500031,52500252,115.9902028539143,0.0,inf,1.0,exo_only,1892.5,0.0,False
chr1,52500508,52500827,115.9902028539143,10.599800236188797,10.94267818915228,0.6666666666666666,exo_only,1892.5,0.0,False
chr1,52630541,52630942,84.14266468228114,10.882541359311295,7.731894775689244,0.6666666666666666,exo_only,1892.5,0.0,False
chr1,52726791,52727529,50.22259372231465,31.347352645833123,1.6021319021652864,1.0,both,734.3333333333334,979.5,False
chr1,52817206,52817862,185.0556789185605,101.54587989191008,1.8223849073496816,0.1,both,1585.0,1877.3333333333333,False
chr1,52952626,52952957,20.14772162858064,92.88784295736706,0.2169037517409881,1.0,endo_only,0.0,2749.0,False
chr1,53296788,53297379,179.29540475246355,44.98391903602891,3.985766660500627,0.4,both,1213.3333333333333,629.0,False
chr1,53352464,53352777,33.093415375508805,77.30273135706267,0.4281015016487547,0.8,both,597.5,780.6666666666666,False
chr1,53784769,53785369,168.3639939564652,102.63591858419636,1.640400322605867,0.4,both,1772.0,1314.3333333333333,False
chr1,54194342,54195242,6.83078808420169,36.11037156121195,0.1891641594610175,0.6666666666666666,endo_only,0.0,873.0,False
chr1,54250569,54250800,179.77140816290674,77.35372198131769,2.324017559314402,0.1,both,1238.6666666666667,728.6666666666666,False
chr1,54438757,54439059,130.75875941837566,20.232001225896266,6.462967155765538,0.2,both,1360.6666666666667,523.0,False
chr1,54557255,54557805,169.1995074567627,113.38045459929378,1.4923163613582529,0.7,both,1139.3333333333333,1237.6666666666667,False
chr1,54925725,54926617,59.43099947088512,43.17831906925733,1.3764083630851571,0.6666666666666666,both,922.5,1471.0,False
chr1,55026873,55027605,113.43042900029704,115.87643545281568,0.978891252194976,0.7,both,940.0,1088.3333333333333,False
chr1,55052507,55053297,205.5501064900955,131.6468662423938,1.5613748534783038,0.4,both,1525.6666666666667,1048.3333333333333,False
chr1,55087410,55088640,202.0894068174001,229.50328933754432,0.8805512435169286,0.7,both,2058.6666666666665,2181.6666666666665,False
chr1,55131057,55131773,108.23919624268456,86.8822135695646,1.2458153607702445,0.7,both,967.3333333333334,1266.0,False
chr1,55236985,55237816,316.1878660164003,128.13413492843517,2.467631800011729,0.2,both,3460.6666666666665,3397.0,False
chr1,55405582,55406648,349.15635028833896,87.99278547677868,3.968011109052587,0.1,both,2586.6666666666665,1171.0,False
chr1,56970858,56971119,57.90139847503153,78.97560660093906,0.7331554763182161,0.6666666666666666,endo_only,0.0,2476.5,False
chr1,56971509,56973501,181.0366272928287,98.70606976575722,1.83409822437924,0.1,both,2440.333333333333,1939.6666666666667,False
chr1,56977104,56977392,143.08716271354086,94.79648395439736,1.5094142392704577,0.7,both,2270.333333333333,1677.0,False
chr1,57377474,57378019,220.85033063363767,122.79319286134312,1.79855515999995,0.4,both,2075.6666666666665,2137.6666666666665,False
